## emapper-2.1.13	
## /usr/local/bin/emapper.py -i /inputs/GCA_000499845.2_P._vulgaris_v2.0_protein.faa --itype proteins -o /outputs/pvul_eggnog -m diamond --cpu 12 --data_dir /eggnog_db	
##	
#query	KEGG_ko
ESW03268.1	ko:K01738,ko:K14831
ESW11554.1	-
ESW11555.1	ko:K07735
ESW11556.1	-
ESW11558.1	-
ESW11559.1	-
ESW11560.1	ko:K14638
ESW11561.1	ko:K14638
ESW11562.1	ko:K15015
ESW11563.1	ko:K03798
ESW11564.1	ko:K15015
ESW11568.1	ko:K09874
ESW11570.1	-
ESW11571.1	-
ESW11572.1	-
ESW11573.1	ko:K09422
ESW11574.1	-
ESW11575.1	ko:K02915
ESW11576.1	-
ESW11577.1	-
ESW11578.1	-
ESW11579.1	ko:K17479
ESW11580.1	ko:K17479
ESW11581.1	ko:K09338
ESW11582.1	-
ESW11584.1	-
ESW11585.1	ko:K01785
ESW11586.1	-
ESW11587.1	-
ESW11589.1	-
ESW11590.1	ko:K10712
ESW11592.1	ko:K02146
ESW11593.1	ko:K19613
ESW11594.1	-
ESW11595.1	ko:K01728
ESW11596.1	ko:K13947
ESW11597.1	ko:K13947,ko:K15040
ESW11598.1	-
ESW11599.1	-
ESW11600.1	ko:K03671
ESW11601.1	ko:K13024
ESW11602.1	ko:K13024
ESW11603.1	-
ESW11604.1	-
ESW11605.1	ko:K20891
ESW11607.1	-
ESW11608.1	-
ESW11609.1	-
ESW11611.1	ko:K08900
ESW11612.1	ko:K08900
ESW11613.1	ko:K14782
ESW11614.1	ko:K09338
ESW11615.1	-
ESW11616.1	-
ESW11617.1	ko:K03294
ESW11618.1	ko:K03294
ESW11619.1	-
ESW11621.1	-
ESW11622.1	ko:K02152
ESW11623.2	ko:K12180,ko:K12818
ESW11624.1	-
ESW11625.1	-
ESW11626.1	-
ESW11627.1	-
ESW11628.1	-
ESW11629.1	-
ESW11630.1	ko:K09286,ko:K14517
ESW11631.1	ko:K09286,ko:K14517
ESW11632.1	ko:K12180,ko:K12818
ESW11633.1	ko:K12180,ko:K12818
ESW11635.1	-
ESW11636.1	-
ESW11637.1	ko:K16818
ESW11638.1	ko:K16818
ESW11639.1	ko:K16818
ESW11640.1	ko:K13199
ESW11642.1	-
ESW11643.1	ko:K04730
ESW11645.1	ko:K04730
ESW11646.1	-
ESW11647.1	ko:K18985
ESW11648.2	ko:K20359
ESW11650.1	ko:K15032
ESW11651.1	ko:K02970
ESW11652.1	-
ESW11654.1	ko:K02690
ESW11655.1	ko:K02690
ESW11657.1	ko:K20359
ESW11658.1	-
ESW11659.1	-
ESW11660.1	-
ESW11661.1	ko:K08342
ESW11662.1	ko:K08342
ESW11663.1	ko:K01627
ESW11664.1	ko:K12885
ESW11665.1	ko:K12885
ESW11666.1	-
ESW11667.1	-
ESW11668.1	ko:K16280
ESW11670.1	-
ESW11671.1	-
ESW11672.1	ko:K20815
ESW11673.1	ko:K20815
ESW11674.1	ko:K20301
ESW11675.1	ko:K02147
ESW11676.1	-
ESW11677.1	ko:K17361
ESW11678.1	ko:K02184
ESW11680.1	-
ESW11681.1	ko:K03004
ESW11682.1	-
ESW11683.1	ko:K08738
ESW11685.1	ko:K03955
ESW11686.1	-
ESW11687.1	-
ESW11688.1	ko:K21444
ESW11689.1	ko:K17800
ESW11690.1	ko:K06670
ESW11691.1	-
ESW11692.1	ko:K19269
ESW11693.2	ko:K10750
ESW11694.1	-
ESW11696.1	ko:K22389
ESW11697.1	ko:K02836
ESW11698.1	ko:K11165
ESW11699.1	ko:K03955
ESW11700.1	ko:K08057
ESW11701.1	ko:K08057
ESW11702.1	ko:K08057
ESW11703.1	-
ESW11704.1	-
ESW11705.1	-
ESW11706.1	ko:K03969
ESW11707.1	ko:K02160
ESW11708.1	-
ESW11709.1	ko:K00820
ESW11710.1	ko:K03671
ESW11711.1	-
ESW11712.1	-
ESW11713.1	ko:K16296
ESW11714.1	-
ESW11716.1	ko:K11752
ESW11718.1	-
ESW11719.1	ko:K18835
ESW11720.1	-
ESW11721.1	ko:K18045
ESW11722.1	ko:K02699
ESW11723.1	-
ESW11724.1	-
ESW11725.1	-
ESW11726.1	-
ESW11727.1	-
ESW11728.1	-
ESW11730.2	-
ESW11731.1	-
ESW11732.1	ko:K13947
ESW11733.1	-
ESW11735.1	-
ESW11736.1	ko:K08876
ESW11737.1	ko:K20860
ESW11738.1	ko:K07390
ESW11739.1	-
ESW11740.1	ko:K03217
ESW11741.1	ko:K13379
ESW11742.1	ko:K13379
ESW11743.1	-
ESW11744.1	-
ESW11745.1	ko:K15747
ESW11746.1	ko:K05841
ESW11747.1	ko:K05841
ESW11748.1	-
ESW11749.1	-
ESW11750.1	-
ESW11751.1	-
ESW11752.1	-
ESW11753.1	-
ESW11754.1	-
ESW11755.1	-
ESW11756.2	-
ESW11758.1	-
ESW11759.1	ko:K19041
ESW11760.1	ko:K20720,ko:K20721,ko:K20723
ESW11761.1	ko:K20720,ko:K20721,ko:K20723
ESW11764.1	ko:K08241,ko:K21483
ESW11765.1	ko:K08241,ko:K21483
ESW11766.1	ko:K08241,ko:K21483
ESW11767.1	ko:K08241,ko:K21483
ESW11768.1	-
ESW11773.1	-
ESW11774.1	-
ESW11775.1	ko:K13425
ESW11776.1	ko:K01762,ko:K20772
ESW11777.1	-
ESW11778.1	-
ESW11779.1	-
ESW11780.1	-
ESW11781.1	-
ESW11783.1	-
ESW11784.1	-
ESW11785.1	-
ESW11786.1	-
ESW11787.1	-
ESW11788.1	ko:K02931
ESW11789.1	ko:K06013
ESW11790.1	ko:K04733
ESW11791.1	-
ESW11792.1	-
ESW11793.1	-
ESW11794.1	-
ESW11795.1	-
ESW11796.1	-
ESW11797.1	ko:K00521
ESW11798.1	ko:K20476
ESW11800.1	-
ESW11801.1	-
ESW11802.1	ko:K22378
ESW11803.1	ko:K03327
ESW11804.1	-
ESW11805.1	-
ESW11806.1	-
ESW11807.1	ko:K10576
ESW11808.2	ko:K11647
ESW11809.1	ko:K13034
ESW11810.2	-
ESW11811.1	ko:K21594
ESW11812.1	ko:K21594
ESW11813.1	ko:K13459,ko:K20603
ESW11814.1	ko:K13459,ko:K20603
ESW11815.1	-
ESW11816.1	-
ESW11817.1	-
ESW11818.1	-
ESW11819.1	ko:K02607
ESW11820.1	ko:K02607
ESW11821.1	ko:K02607
ESW11822.1	ko:K08193
ESW11823.1	ko:K03094
ESW11824.1	ko:K03094
ESW11825.1	ko:K03094
ESW11826.1	ko:K03094
ESW11827.1	ko:K03094
ESW11828.1	ko:K03094
ESW11829.1	ko:K09597
ESW11830.1	ko:K09597
ESW11831.1	-
ESW11832.1	-
ESW11833.1	-
ESW11834.1	-
ESW11835.1	-
ESW11836.1	-
ESW11837.1	-
ESW11840.1	-
ESW11841.1	-
ESW11842.1	-
ESW11843.1	-
ESW11844.1	-
ESW11845.1	-
ESW11846.1	-
ESW11847.1	-
ESW11848.1	-
ESW11849.1	-
ESW11850.1	-
ESW11851.1	-
ESW11852.1	-
ESW11853.1	-
ESW11854.1	-
ESW11855.1	-
ESW11856.1	-
ESW11857.1	-
ESW11859.1	-
ESW11860.1	-
ESW11861.1	-
ESW11862.1	-
ESW11863.1	-
ESW11864.1	-
ESW11865.1	-
ESW11867.1	-
ESW11868.1	ko:K01177
ESW11870.1	-
ESW11871.1	-
ESW11872.1	-
ESW11873.1	-
ESW11874.2	ko:K01068
ESW11875.1	-
ESW11876.1	ko:K12614
ESW11878.1	ko:K19613
ESW11879.1	ko:K19613
ESW11880.1	ko:K19613
ESW11881.2	ko:K12590
ESW11882.1	ko:K19613
ESW11883.1	ko:K19613
ESW11884.1	ko:K19613
ESW11885.1	ko:K19613
ESW11886.1	ko:K09422
ESW11887.1	-
ESW11888.1	ko:K09377
ESW11889.1	ko:K07178
ESW11890.1	ko:K07178
ESW11891.1	-
ESW11892.1	-
ESW11893.1	-
ESW11894.1	-
ESW11895.1	ko:K17497
ESW11896.1	ko:K15095
ESW11897.1	ko:K15095
ESW11898.1	ko:K12625
ESW11899.1	ko:K15095
ESW11900.1	ko:K15095
ESW11901.1	ko:K00028
ESW11902.1	-
ESW11903.1	-
ESW11904.1	-
ESW11905.1	-
ESW11906.1	ko:K09480
ESW11907.1	ko:K09480
ESW11909.1	-
ESW11910.1	-
ESW11911.1	-
ESW11913.1	ko:K17710,ko:K17964
ESW11914.1	-
ESW11915.1	-
ESW11916.1	-
ESW11917.1	-
ESW11918.1	ko:K15277
ESW11919.1	ko:K15338
ESW11920.1	-
ESW11921.1	-
ESW11922.1	ko:K19041
ESW11923.1	ko:K02890
ESW11924.1	ko:K22312
ESW11925.1	ko:K13459
ESW11926.1	ko:K13459
ESW11927.1	ko:K02890
ESW11928.1	ko:K13459
ESW11930.1	ko:K13459
ESW11933.1	ko:K11450
ESW11934.1	ko:K13459
ESW11935.1	ko:K02890
ESW11936.1	ko:K08332
ESW11937.1	ko:K08332
ESW11938.1	ko:K08332
ESW11939.1	ko:K13352
ESW11940.1	-
ESW11942.1	ko:K13459
ESW11943.1	ko:K13459
ESW11944.1	ko:K13459
ESW11945.1	ko:K13459
ESW11946.1	-
ESW11947.1	-
ESW11948.1	-
ESW11949.1	ko:K09338
ESW11950.1	ko:K00924,ko:K03083
ESW11951.1	-
ESW11952.1	-
ESW11954.1	ko:K00422
ESW11955.1	ko:K17362
ESW11956.1	-
ESW11957.1	-
ESW11958.1	-
ESW11959.1	-
ESW11961.1	ko:K00847
ESW11962.1	ko:K13648
ESW11963.1	-
ESW11964.1	-
ESW11965.1	-
ESW11966.1	ko:K01598
ESW11969.1	ko:K01598
ESW11970.1	-
ESW11971.1	-
ESW11972.1	-
ESW11976.1	ko:K13254
ESW11977.1	-
ESW11978.1	-
ESW11979.2	-
ESW11981.1	-
ESW11982.1	ko:K01714
ESW11984.1	ko:K18442
ESW11988.1	ko:K21994
ESW11989.1	ko:K16732
ESW11990.1	-
ESW11991.1	-
ESW11992.1	-
ESW11993.1	-
ESW11994.1	-
ESW11995.1	ko:K20368
ESW11996.1	ko:K20368
ESW11997.1	ko:K20368
ESW11998.1	ko:K20368
ESW11999.1	ko:K14423
ESW12000.1	-
ESW12002.1	ko:K13265
ESW12003.1	ko:K13265
ESW12004.1	ko:K13265
ESW12005.1	-
ESW12006.1	-
ESW12007.1	ko:K13648
ESW12008.1	-
ESW12009.1	ko:K00967,ko:K01530
ESW12010.1	-
ESW12013.1	ko:K02922
ESW12014.1	-
ESW12015.1	-
ESW12016.1	-
ESW12017.1	-
ESW12018.1	-
ESW12019.1	ko:K15633
ESW12020.1	-
ESW12023.1	-
ESW12024.1	-
ESW12025.1	ko:K13448
ESW12028.1	ko:K11982
ESW12029.1	-
ESW12030.1	ko:K22379
ESW12031.1	-
ESW12032.1	ko:K03945
ESW12033.1	ko:K14945
ESW12034.1	-
ESW12036.1	-
ESW12037.1	-
ESW12038.2	-
ESW12039.1	-
ESW12040.1	ko:K22450
ESW12042.1	-
ESW12044.1	ko:K06125
ESW12045.1	ko:K06125
ESW12046.1	-
ESW12047.1	-
ESW12048.1	-
ESW12050.1	ko:K06689
ESW12051.1	ko:K03671
ESW12052.1	ko:K03671
ESW12053.1	ko:K03671
ESW12054.1	ko:K03671
ESW12055.1	ko:K03671
ESW12056.1	-
ESW12057.1	ko:K07407
ESW12058.1	ko:K19355
ESW12059.1	-
ESW12060.1	-
ESW12061.1	ko:K04688
ESW12064.1	-
ESW12065.1	ko:K01530,ko:K14802
ESW12066.1	ko:K01530,ko:K14802
ESW12067.1	-
ESW12068.1	-
ESW12069.1	-
ESW12070.2	-
ESW12071.1	-
ESW12072.1	-
ESW12073.1	-
ESW12074.1	-
ESW12075.1	-
ESW12076.1	-
ESW12077.1	-
ESW12078.1	ko:K02356
ESW12079.1	-
ESW12080.1	-
ESW12081.1	ko:K19040
ESW12082.1	-
ESW12083.1	-
ESW12084.1	-
ESW12085.1	-
ESW12086.1	-
ESW12087.1	-
ESW12088.1	ko:K03327
ESW12089.1	ko:K03327
ESW12090.1	-
ESW12091.1	ko:K08867
ESW12094.1	ko:K06901
ESW12095.1	-
ESW12098.1	ko:K07198
ESW12101.1	ko:K12382
ESW12102.1	ko:K12382
ESW12103.1	-
ESW12119.2	-
ESW12124.1	-
ESW12125.1	-
ESW12126.1	ko:K00648
ESW12127.1	-
ESW12128.1	ko:K00430
ESW12129.1	ko:K00430
ESW12130.1	-
ESW12132.1	-
ESW12133.1	-
ESW12141.1	-
ESW12142.1	ko:K07204
ESW12143.2	-
ESW12144.1	ko:K07204
ESW12146.1	-
ESW12147.1	-
ESW12148.2	-
ESW12149.1	-
ESW12152.1	-
ESW12153.1	-
ESW12155.1	-
ESW12156.1	-
ESW12158.1	-
ESW12159.1	-
ESW12160.1	-
ESW12162.1	-
ESW12163.1	ko:K15296
ESW12164.1	-
ESW12165.1	-
ESW12166.1	ko:K15255
ESW12167.1	-
ESW12168.1	-
ESW12169.1	ko:K02377
ESW12170.1	ko:K13424
ESW12172.1	ko:K18822
ESW12173.1	ko:K18822
ESW12174.1	ko:K13496,ko:K18822
ESW12176.1	ko:K18822
ESW12179.1	-
ESW12180.1	-
ESW12181.1	ko:K00002
ESW12182.1	ko:K19996
ESW12183.1	-
ESW12184.1	-
ESW12185.1	-
ESW12186.1	ko:K10442,ko:K10446,ko:K10457
ESW12187.1	-
ESW12188.1	ko:K10442,ko:K10446,ko:K10457
ESW12190.2	-
ESW12191.1	ko:K19613
ESW12192.1	ko:K07253
ESW12193.1	ko:K07253
ESW12194.1	ko:K20359
ESW12195.1	ko:K22138
ESW12196.1	-
ESW12197.1	ko:K20359
ESW12199.1	ko:K02961
ESW12200.1	ko:K02961
ESW12201.1	ko:K04730
ESW12202.1	ko:K04730
ESW12203.1	ko:K04730
ESW12204.1	ko:K02728
ESW12206.1	-
ESW12207.1	-
ESW12208.1	ko:K00522
ESW12209.1	-
ESW12210.1	-
ESW12211.1	-
ESW12212.1	-
ESW12213.1	ko:K08059
ESW12214.1	ko:K08059
ESW12215.1	-
ESW12217.1	ko:K04733
ESW12219.1	-
ESW12220.1	-
ESW12221.1	ko:K03320
ESW12222.1	-
ESW12223.1	-
ESW12229.1	ko:K01568
ESW12234.1	-
ESW12235.1	-
ESW12236.1	-
ESW12237.1	-
ESW12240.1	-
ESW12241.1	ko:K00207
ESW12243.1	-
ESW12244.1	ko:K04040
ESW12247.1	-
ESW12250.1	-
ESW12251.1	ko:K01188,ko:K19964
ESW12253.1	ko:K01188,ko:K19964
ESW12255.1	ko:K01188,ko:K19964
ESW12256.1	ko:K01188,ko:K19964
ESW12257.1	-
ESW12258.1	ko:K04730
ESW12259.1	ko:K01188,ko:K19964
ESW12260.1	ko:K01188,ko:K19964
ESW12262.1	ko:K21797
ESW12263.1	-
ESW12264.1	ko:K08518
ESW12265.1	ko:K10257
ESW12266.1	-
ESW12267.1	-
ESW12268.1	ko:K13412
ESW12270.1	ko:K04354,ko:K07393,ko:K20174
ESW12281.1	-
ESW12284.1	-
ESW12285.1	-
ESW12287.1	-
ESW12288.1	ko:K20241
ESW12289.1	-
ESW12293.1	ko:K05909
ESW12296.1	ko:K13411
ESW12297.1	-
ESW12298.1	ko:K03850
ESW12299.1	ko:K03019
ESW12300.1	ko:K19882
ESW12302.1	-
ESW12303.1	ko:K01102
ESW12304.1	-
ESW12306.1	-
ESW12308.1	-
ESW12309.1	ko:K10403
ESW12310.1	ko:K09422
ESW12313.1	ko:K09422
ESW12314.1	-
ESW12315.1	-
ESW12316.1	-
ESW12317.1	-
ESW12318.1	-
ESW12319.1	-
ESW12322.1	-
ESW12323.1	-
ESW12324.1	ko:K09510
ESW12325.1	-
ESW12327.1	-
ESW12328.1	-
ESW12329.1	-
ESW12332.1	ko:K13494,ko:K13495
ESW12337.1	-
ESW12340.1	ko:K14617
ESW12341.1	ko:K07300
ESW12342.1	ko:K14684
ESW12345.1	-
ESW12346.2	-
ESW12347.1	-
ESW12350.1	-
ESW12351.1	-
ESW12355.1	ko:K18998
ESW12356.1	ko:K18998
ESW12358.1	ko:K04730
ESW12359.1	ko:K01988
ESW12360.1	-
ESW12361.1	ko:K17710
ESW12362.1	ko:K17710
ESW12363.1	ko:K17710
ESW12364.1	-
ESW12365.1	-
ESW12367.1	ko:K13946
ESW12370.1	ko:K04730
ESW12371.1	ko:K04730
ESW12372.1	ko:K13508
ESW12373.1	-
ESW12374.1	ko:K06119
ESW12375.1	-
ESW12376.1	ko:K05909
ESW12377.1	ko:K14638
ESW12378.1	ko:K14638
ESW12379.1	ko:K14638
ESW12380.1	-
ESW12384.1	-
ESW12385.1	-
ESW12386.1	ko:K21763
ESW12387.1	ko:K08193
ESW12388.1	-
ESW12389.1	-
ESW12390.1	-
ESW12391.1	-
ESW12392.1	-
ESW12393.1	-
ESW12396.1	ko:K09591
ESW12397.1	ko:K01962
ESW12398.1	ko:K15685
ESW12399.1	ko:K15103
ESW12400.1	-
ESW12401.1	-
ESW12403.1	-
ESW12406.1	-
ESW12407.1	ko:K20777
ESW12410.1	-
ESW12411.1	-
ESW12415.1	-
ESW12416.1	-
ESW12417.1	-
ESW12418.1	-
ESW12419.1	-
ESW12420.1	-
ESW12421.1	-
ESW12422.1	-
ESW12423.2	-
ESW12424.1	ko:K20777
ESW12425.1	-
ESW12426.1	-
ESW12427.1	-
ESW12428.1	-
ESW12429.1	-
ESW12431.1	-
ESW12432.1	ko:K03841
ESW12433.1	ko:K05909
ESW12434.1	ko:K05909
ESW12435.1	ko:K01853,ko:K15813,ko:K20659
ESW12436.1	-
ESW12437.1	ko:K04714
ESW12438.1	-
ESW12439.1	ko:K13993
ESW12440.1	ko:K14686
ESW12441.1	-
ESW12442.1	ko:K15032
ESW12443.1	-
ESW12444.1	ko:K14686
ESW12445.1	ko:K09422
ESW12446.1	-
ESW12447.1	-
ESW12448.1	ko:K00799
ESW12449.1	ko:K00799
ESW12450.1	-
ESW12451.1	-
ESW12452.1	-
ESW12453.1	-
ESW12454.1	ko:K14638
ESW12455.1	-
ESW12456.1	ko:K14684
ESW12457.1	-
ESW12458.1	-
ESW12459.1	ko:K20393
ESW12460.2	ko:K08081
ESW12461.1	-
ESW12462.1	-
ESW12463.1	ko:K12657
ESW12464.1	ko:K15414
ESW12466.1	ko:K01897
ESW12467.1	-
ESW12468.1	-
ESW12469.1	-
ESW12470.1	-
ESW12471.1	ko:K08081
ESW12472.1	-
ESW12473.1	ko:K08081
ESW12474.1	ko:K05354,ko:K08081
ESW12475.1	ko:K05354,ko:K08081
ESW12476.1	ko:K08081
ESW12477.1	ko:K08081
ESW12478.1	ko:K08081
ESW12484.1	-
ESW12486.1	ko:K08081
ESW12487.1	ko:K08081
ESW12488.1	-
ESW12489.1	-
ESW12491.1	-
ESW12492.1	-
ESW12493.1	-
ESW12494.1	ko:K01052
ESW12495.1	-
ESW12498.1	-
ESW12501.1	ko:K14486
ESW12502.1	ko:K04730
ESW12503.1	ko:K11982
ESW12504.1	-
ESW12505.1	ko:K15015
ESW12506.1	-
ESW12507.1	ko:K05909
ESW12508.1	-
ESW12510.1	-
ESW12511.1	-
ESW12512.1	ko:K07025,ko:K18551
ESW12513.1	ko:K07025,ko:K18551
ESW12516.1	-
ESW12517.1	-
ESW12521.1	-
ESW12522.1	-
ESW12526.1	ko:K04733
ESW12527.1	-
ESW12529.1	-
ESW12537.1	ko:K11000
ESW12546.1	ko:K01653
ESW12547.1	-
ESW12548.1	-
ESW12549.1	-
ESW12550.1	ko:K20474
ESW12551.1	-
ESW12552.1	ko:K04422
ESW12554.1	-
ESW12555.1	ko:K01728
ESW12556.1	-
ESW12558.1	-
ESW12559.1	-
ESW12560.1	-
ESW12562.1	-
ESW12563.1	-
ESW12564.1	ko:K08511
ESW12565.1	ko:K08511
ESW12566.1	ko:K08511,ko:K08515
ESW12567.1	-
ESW12568.1	-
ESW12569.1	-
ESW12570.1	ko:K13430
ESW12571.1	-
ESW12572.1	-
ESW12578.1	-
ESW12580.1	-
ESW12581.1	-
ESW12582.1	-
ESW12584.1	-
ESW12586.1	-
ESW12587.1	-
ESW12588.1	-
ESW12590.1	-
ESW12591.1	-
ESW12592.1	-
ESW12593.1	-
ESW12594.1	ko:K02872
ESW12595.1	-
ESW12597.1	-
ESW12600.1	-
ESW12601.1	-
ESW12602.1	-
ESW12606.1	-
ESW12607.1	ko:K04733
ESW12608.1	-
ESW12611.1	-
ESW12613.1	-
ESW12614.1	-
ESW12619.1	ko:K10949
ESW12620.1	-
ESW12621.1	-
ESW12622.1	ko:K22390
ESW12623.1	ko:K08150
ESW12624.1	-
ESW12625.1	-
ESW12626.1	-
ESW12627.1	ko:K00895
ESW12628.1	ko:K07408,ko:K15814
ESW12629.1	-
ESW12630.1	ko:K10695
ESW12631.1	ko:K12160
ESW12632.1	ko:K08235
ESW12635.1	ko:K11592
ESW12636.1	-
ESW12637.1	ko:K11592
ESW12638.1	-
ESW12639.1	-
ESW12640.1	-
ESW12641.1	ko:K08235
ESW12642.1	ko:K21878
ESW12644.1	ko:K14819
ESW12645.1	ko:K15400
ESW12647.1	ko:K14009
ESW12648.1	ko:K13456
ESW12649.1	ko:K13456
ESW12650.1	ko:K06628
ESW12651.1	ko:K10782
ESW12652.1	-
ESW12653.1	ko:K14819
ESW12658.1	-
ESW12659.1	-
ESW12662.1	-
ESW12663.1	-
ESW12664.1	-
ESW12665.1	-
ESW12666.1	-
ESW12667.1	ko:K13648
ESW12668.1	ko:K17265
ESW12671.1	ko:K01495
ESW12672.1	ko:K01495
ESW12673.1	-
ESW12674.1	-
ESW12675.1	-
ESW12677.1	ko:K09571
ESW12678.1	ko:K09571
ESW12679.1	-
ESW12682.1	-
ESW12683.1	-
ESW12684.1	-
ESW12685.1	ko:K02693
ESW12686.1	ko:K19861
ESW12687.1	ko:K19861
ESW12689.1	-
ESW12690.1	-
ESW12691.1	ko:K03109
ESW12692.1	ko:K00208
ESW12693.1	-
ESW12694.1	ko:K09561
ESW12695.1	ko:K09561
ESW12697.1	-
ESW12698.1	-
ESW12699.1	ko:K20714
ESW12700.1	ko:K19791
ESW12701.1	ko:K01148
ESW12702.1	-
ESW12703.1	-
ESW12707.1	ko:K06126
ESW12708.1	ko:K06126
ESW12709.1	ko:K07904,ko:K07976
ESW12710.1	ko:K02991
ESW12711.1	ko:K02991
ESW12713.1	-
ESW12715.1	-
ESW12716.1	ko:K02912
ESW12717.1	-
ESW12718.1	-
ESW12719.1	ko:K02991
ESW12721.1	-
ESW12722.1	ko:K03453
ESW12723.1	ko:K17275,ko:K17276
ESW12724.1	-
ESW12725.1	-
ESW12726.1	-
ESW12727.1	-
ESW12728.1	-
ESW12729.1	-
ESW12730.1	-
ESW12731.1	-
ESW12734.1	-
ESW12735.1	ko:K22071
ESW12736.1	-
ESW12737.1	-
ESW12738.1	ko:K05658
ESW12739.1	-
ESW12742.1	ko:K19530
ESW12743.1	-
ESW12744.2	-
ESW12746.1	-
ESW12747.1	ko:K18185
ESW12748.2	-
ESW12749.1	ko:K03260
ESW12750.1	ko:K13448
ESW12751.1	-
ESW12752.1	ko:K01528
ESW12755.1	ko:K10875
ESW12756.1	ko:K10875
ESW12758.1	-
ESW12760.1	-
ESW12761.1	-
ESW12762.1	-
ESW12763.1	-
ESW12764.1	-
ESW12765.1	ko:K08237
ESW12766.1	ko:K08237
ESW12767.1	ko:K08237
ESW12768.1	ko:K08237
ESW12769.1	ko:K01649
ESW12770.1	-
ESW12771.1	ko:K10696
ESW12772.1	-
ESW12778.1	ko:K02969,ko:K08679
ESW12779.1	-
ESW12780.1	ko:K05666
ESW12781.1	-
ESW12782.1	-
ESW12783.1	-
ESW12784.1	-
ESW12785.1	-
ESW12786.1	-
ESW12788.1	ko:K09284
ESW12791.1	-
ESW12792.1	ko:K11807
ESW12793.1	ko:K08869
ESW12794.1	ko:K08869
ESW12796.1	-
ESW12797.1	-
ESW12798.1	ko:K01184
ESW12799.1	ko:K07904
ESW12800.1	-
ESW12802.1	-
ESW12803.1	-
ESW12804.1	ko:K20628
ESW12805.1	-
ESW12806.1	-
ESW12808.1	-
ESW12810.1	-
ESW12811.1	-
ESW12812.1	-
ESW12830.1	-
ESW12832.1	ko:K12386
ESW12833.1	ko:K12386
ESW12834.1	ko:K04730
ESW12836.1	-
ESW12840.1	ko:K04730
ESW12841.1	-
ESW12842.1	ko:K20781
ESW12843.1	ko:K09422
ESW12844.1	-
ESW12847.1	-
ESW12850.1	-
ESW12851.1	-
ESW12854.1	-
ESW12855.1	-
ESW12856.1	-
ESW12857.1	-
ESW12862.1	-
ESW12863.1	ko:K20779
ESW12869.1	ko:K00036
ESW12870.1	ko:K15627
ESW12872.1	-
ESW12874.1	-
ESW12877.1	-
ESW12878.1	-
ESW12879.1	-
ESW12880.1	-
ESW12881.1	-
ESW12883.1	-
ESW12884.1	ko:K11724
ESW12886.1	ko:K00413
ESW12887.1	ko:K00413
ESW12888.1	-
ESW12891.1	ko:K02986
ESW12892.1	-
ESW12893.1	ko:K02939
ESW12900.1	-
ESW12901.1	-
ESW12906.1	-
ESW12907.1	-
ESW12909.1	ko:K18980
ESW12910.1	-
ESW12911.1	ko:K05391
ESW12913.1	ko:K03549
ESW12914.1	-
ESW12915.1	ko:K19041
ESW12916.1	ko:K19041
ESW12917.1	ko:K04730
ESW12918.1	ko:K10846
ESW12923.1	ko:K05285
ESW12924.1	-
ESW12925.1	ko:K15920
ESW12929.1	-
ESW12930.1	-
ESW12931.1	ko:K12741
ESW12932.1	-
ESW12933.1	ko:K08286
ESW12935.1	-
ESW12936.1	-
ESW12939.1	ko:K10268
ESW12940.1	-
ESW12946.1	ko:K00649,ko:K12403
ESW12947.1	ko:K00649,ko:K12403
ESW12948.1	ko:K00512,ko:K11818,ko:K12156
ESW12949.1	-
ESW12951.1	-
ESW12952.1	-
ESW12953.1	-
ESW12954.1	-
ESW12955.1	ko:K08232
ESW12956.1	ko:K09422
ESW12957.1	-
ESW12958.1	ko:K09422
ESW12960.1	ko:K09422
ESW12963.1	ko:K03676
ESW12964.1	-
ESW12965.1	ko:K15271
ESW12971.1	-
ESW12972.1	-
ESW12973.1	-
ESW12974.1	-
ESW12981.1	-
ESW12982.1	ko:K15406
ESW12985.1	ko:K14830
ESW12986.1	-
ESW12987.1	-
ESW12991.1	ko:K02349
ESW12992.1	-
ESW12993.1	-
ESW12994.1	ko:K20558
ESW12995.1	ko:K01051
ESW12996.1	-
ESW12997.1	-
ESW12998.1	-
ESW12999.1	-
ESW13000.1	ko:K06689
ESW13001.1	-
ESW13002.1	-
ESW13004.1	ko:K20725
ESW13005.1	ko:K20854
ESW13007.1	-
ESW13009.1	ko:K02155
ESW13010.1	ko:K06975
ESW13011.1	-
ESW13015.1	-
ESW13016.1	-
ESW13017.1	ko:K00006
ESW13018.1	-
ESW13019.1	ko:K13600
ESW13020.1	-
ESW13021.1	-
ESW13022.1	-
ESW13023.1	ko:K03134
ESW13024.1	ko:K13993,ko:K20478
ESW13025.1	ko:K14961
ESW13026.1	ko:K09549
ESW13027.1	ko:K09549
ESW13028.1	-
ESW13029.1	ko:K14191
ESW13030.1	-
ESW13031.1	ko:K02925,ko:K08498,ko:K13339
ESW13032.1	ko:K17616
ESW13033.1	ko:K02704
ESW13035.1	-
ESW13036.1	ko:K00604
ESW13037.1	ko:K00604
ESW13038.1	ko:K06630
ESW13039.1	-
ESW13041.1	-
ESW13042.1	ko:K10706
ESW13044.1	ko:K01897
ESW13045.1	ko:K16365
ESW13049.1	-
ESW13052.1	-
ESW13053.1	-
ESW13054.1	ko:K07232
ESW13055.1	-
ESW13056.1	-
ESW13057.1	-
ESW13058.1	ko:K04733
ESW13059.1	-
ESW13061.1	-
ESW13065.1	-
